name_id,h3_index,HubNameHE
0,8a2db0a52227fff,אצטדיון קרית אתא
0,8a2db0a523affff,אצטדיון קרית אתא
1,8a2db018a967fff,צומת רמת הכובש
2,8a2db00a5b67fff,צומת צור נתן
3,8a2db018496ffff,חנה וסע שפיים
3,8a2db01a34a7fff,חנה וסע שפיים
4,8a2db01187b7fff,"פנקס/האורג, נתניה"
5,8a2db01ac257fff,"איקאה, נתניה"
5,8a2db01ac2effff,"איקאה, נתניה"
5,8a2db01ad5a7fff,"איקאה, נתניה"
6,8a2db003164ffff,צומת תנובות
7,8a2db052d537fff,"מכון וולקני/דרך המכבים, ראשון לציון"
7,8a2db052d507fff,"מכון וולקני/דרך המכבים, ראשון לציון"
8,8a2db000676ffff,צומת בארותיים
9,8a2db052a9affff,"קרית חינוך יצחק נבון, ראשון לציון"
10,8a2db001086ffff,תחנת רכבת טייבה
11,8a2db0545caffff,תחנת רכבת אלעד
11,8a2db0545c8ffff,תחנת רכבת אלעד
12,8a2db0a2b787fff,"קרית הממשלה, חיפה"
12,8a2db0a0cb6ffff,"קרית הממשלה, חיפה"
13,8a2db01ada9ffff,"אורט הרמלין, נתניה"
14,8a2db052db1ffff,מחלף השבעה
14,8a2db052db0ffff,מחלף השבעה
15,8a2db011a8a7fff,"קלאוזנר/לנטוס, נתניה"
16,8a2db01ad56ffff,"גיבורי ישראל/התרופה, נתניה"
17,8a2db01ac85ffff,"אהוד מנור/שוש עטרי, נתניה"
18,8a2db0010557fff,"שיח מסעוד, טייבה"
19,8a2db0a56557fff,מחלף קרית אתא דרום
19,8a2db0a56427fff,מחלף קרית אתא דרום
20,8a2db00a580ffff,צומת טירה
21,8a2db011ac2ffff,"ליבר/לנטוס, נתניה"
22,8a2db0118717fff,"פנקס/המסגר, נתניה"
23,8a2db0a0c32ffff,חיפה מזרח
23,8a2db0a0c327fff,חיפה מזרח
23,8a2db0a0ca8ffff,חיפה מזרח
24,8a2db001004ffff,צומת טייבה
25,8a2db018861ffff,"מגדל המים, טירה"
26,8a2db0aed737fff,צומת אבליים
26,8a2db0aed717fff,צומת אבליים
26,8a2db0aed71ffff,צומת אבליים
26,8a2db0aed70ffff,צומת אבליים
27,8a2db0a5224ffff,"יצחק רבין/מנחם בגין, קרית אתא"
27,8a2db0a5225ffff,"יצחק רבין/מנחם בגין, קרית אתא"
28,8a2db052a82ffff,"הנוריות, ראשון לציון"
28,8a2db052a867fff,"הנוריות, ראשון לציון"
29,8a2db0015c87fff,מועצה מקומית קלנסוואה
30,8a2db01adda7fff,"לבון/בן גוריון, נתניה"
31,8a2db05349a7fff,תחנת רכבת יבנה-מערב
31,8a2db0534917fff,תחנת רכבת יבנה-מערב
32,8a2db01ad50ffff,"בית אדר, נתניה"
33,8a2db01982f7fff,אזור תעסוקה בנימין
33,8a2db01982effff,אזור תעסוקה בנימין
34,8a2db037022ffff,"כיכר המוסכים, נצרת"
34,8a2db0371c87fff,"כיכר המוסכים, נצרת"
34,8a2db037035ffff,"כיכר המוסכים, נצרת"
34,8a2db0371c9ffff,"כיכר המוסכים, נצרת"
34,8a2db0371c97fff,"כיכר המוסכים, נצרת"
35,8a2db032c797fff,תחנת רכבת כפר ברוך
35,8a2db032c78ffff,תחנת רכבת כפר ברוך
36,8a2db052e397fff,"השומר/ירושלים, ראשון לציון"
37,8a2db0509d8ffff,"אבא הלל סילבר/נדא, לוד"
37,8a2db0509d87fff,"אבא הלל סילבר/נדא, לוד"
37,8a2db050836ffff,"אבא הלל סילבר/נדא, לוד"
38,8a2db1da4977fff,תחנת רכבת אחיהוד
38,8a2db0a4a2dffff,תחנת רכבת אחיהוד
39,8a2db0190207fff,"תיכון הדרים, הוד השרון"
40,8a2db019421ffff,"תע""ש השרון - מזרח"
41,8a2db0031907fff,"בן גוריון/כביש 57, כפר יונה"
42,8a2db030801ffff,תחנת רכבת עפולה
43,8a2db0aedd07fff,מחלף גילעם
43,8a2db0aedd27fff,מחלף גילעם
44,8a2db62602dffff,"היהלומים/הבנאים, אשדוד"
44,8a2db62602e7fff,"היהלומים/הבנאים, אשדוד"
44,8a2db62602f7fff,"היהלומים/הבנאים, אשדוד"
45,8a2db011a95ffff,"כיכר האחדות, נתניה"
45,8a2db0118497fff,"כיכר האחדות, נתניה"
46,8a2db052e66ffff,"קלאוזנר/ירושלים, ראשון לציון"
47,8a2db01ad347fff,"רייך/לנטוס, נתניה"
47,8a2db01ad36ffff,"רייך/לנטוס, נתניה"
48,8a2db0566d07fff,"שלמה המלך/נחל גמלא, קרית אונו"
49,8a2db0cc24cffff,"גיתית/בן צבי, תל אביב"
50,8a2db050dcd7fff,תחנת רכבת לוד-גני אביב
50,8a2db050dcdffff,תחנת רכבת לוד-גני אביב
50,8a2db050d567fff,תחנת רכבת לוד-גני אביב
51,8a2db0194aa7fff,"תע""ש השרון - מערב"
52,8a2db0503047fff,תחנת רכבת רמלה-דרום
52,8a2db050315ffff,תחנת רכבת רמלה-דרום
53,8a2db003505ffff,"העצמאות/העלייה, כפר יונה"
54,8a2db018328ffff,צומת בית ברל
55,8a2db0536c27fff,תחנת רכבת יבנה-מזרח
55,8a2db0536d07fff,תחנת רכבת יבנה-מזרח
55,8a2db0536c0ffff,תחנת רכבת יבנה-מזרח
55,8a2db0536d1ffff,תחנת רכבת יבנה-מזרח
56,8a2db0cde18ffff,"השבעה/המלאכה, חולון"
56,8a2db0cde197fff,"השבעה/המלאכה, חולון"
57,8a2db0a552a7fff,מרכזית הקריות
57,8a2db0a5521ffff,מרכזית הקריות
58,8a2db011b057fff,צומת גנות הדר
59,8a2db0a6ad97fff,תחנת רכבת עכו
60,8a2db0521667fff,"רוטשילד/רמז, ראשון לציון"
60,8a2db0521767fff,"רוטשילד/רמז, ראשון לציון"
60,8a2db052174ffff,"רוטשילד/רמז, ראשון לציון"
61,8a2db0118777fff,"כביש 57/פנקס, נתניה"
62,8a2db0515877fff,"שדרות הקיבוצים/הרצל, רחובות"
62,8a2db051595ffff,"שדרות הקיבוצים/הרצל, רחובות"
63,8a2db01988e7fff,"הורוביץ/הפועל, כפר סבא"
63,8a2db01988effff,"הורוביץ/הפועל, כפר סבא"
64,8a2db62614effff,צומת בני ברית
64,8a2db626145ffff,צומת בני ברית
65,8a2db01ad02ffff,"הגביש/טרומן, נתניה"
66,8a2db01834a7fff,"בן יהודה/טשרניחובסקי, כפר סבא"
66,8a2db0183417fff,"בן יהודה/טשרניחובסקי, כפר סבא"
67,8a2db05237a7fff,"ויצמן/המאה ואחד, נס ציונה"
68,8a2db01915b7fff,"ירקונה/רמתיים, הוד השרון"
69,8a2db050e20ffff,"שדרות ירושלים/הרמ""א, רמלה"
69,8a2db050e257fff,"שדרות ירושלים/הרמ""א, רמלה"
69,8a2db050e21ffff,"שדרות ירושלים/הרמ""א, רמלה"
70,8a2db0a0ba17fff,חוצות המפרץ
71,8a2db569a22ffff,תחנת רכבת נהריה
72,8a2db050484ffff,"קניותר, נס ציונה"
72,8a2db050486ffff,"קניותר, נס ציונה"
73,8a2db0cc8127fff,"בכור שטרית/רוקח, תל אביב"
73,8a2db0cc889ffff,"בכור שטרית/רוקח, תל אביב"
74,8a2db0190b87fff,"המחתרות, הוד השרון"
75,8a2db05210effff,"תחנה מרכזית חדשה, ראשון לציון"
75,8a2db052102ffff,"תחנה מרכזית חדשה, ראשון לציון"
75,8a2db0521057fff,"תחנה מרכזית חדשה, ראשון לציון"
76,8a2db01ac6c7fff,תחנת רכבת בית יהושוע
76,8a2db01a8d67fff,תחנת רכבת בית יהושוע
77,8a2db052aac7fff,אסף הרופא
77,8a2db052aa57fff,אסף הרופא
77,8a2db052aa4ffff,אסף הרופא
78,8a2db0ccc6c7fff,"תחנת רכבת ת""א האוניברסיטה"
78,8a2db0ccc6f7fff,"תחנת רכבת ת""א האוניברסיטה"
79,8a2db0508adffff,אבא הלל סילבר/מבצע יונתן
79,8a2db050832ffff,אבא הלל סילבר/מבצע יונתן
80,8a2db627112ffff,תחנת רכבת אשדוד-עד הלום
80,8a2db62718d7fff,תחנת רכבת אשדוד-עד הלום
80,8a2db6271127fff,תחנת רכבת אשדוד-עד הלום
81,8a2db0118677fff,"כביש 57/דרך דגניה, נתניה"
81,8a2db01186cffff,"כביש 57/דרך דגניה, נתניה"
81,8a2db011865ffff,"כביש 57/דרך דגניה, נתניה"
82,8a2db0a2b8e7fff,תחנת רכבת בת גלים
82,8a2db0a2b807fff,תחנת רכבת בת גלים
83,8a2db0a5471ffff,תחנת רכבת קרית מוצקין
84,8a2db011b2b7fff,צומת השרון
85,8a2db664e2f7fff,תחנת רכבת להבים-רהט
86,8a2db0508547fff,קניון לוד
87,8a2db0143317fff,תחנת רכבת קיסריה-פרדס חנה
87,8a2db0143337fff,תחנת רכבת קיסריה-פרדס חנה
88,8a2db050650ffff,"הרצל/רוטרי, רחובות"
88,8a2db0506ccffff,"הרצל/רוטרי, רחובות"
88,8a2db0506cdffff,"הרצל/רוטרי, רחובות"
89,8a2db0cdb85ffff,"תל השומר, אונקולוגיה"
90,8a2db0cdb447fff,צומת נווה סביון
91,8a2db0186c6ffff,תחנת רכבת רעננה מערב
91,8a2db0186c67fff,תחנת רכבת רעננה מערב
92,8a2db01b314ffff,"בן גוריון/סוקולוב, הרצליה"
92,8a2db01b3157fff,"בן גוריון/סוקולוב, הרצליה"
93,8a2db0561487fff,צומת סירקין
93,8a2db05614a7fff,צומת סירקין
94,8a2db0523357fff,תחנת רכבת הראשונים
94,8a2db0523227fff,תחנת רכבת הראשונים
94,8a2db052335ffff,תחנת רכבת הראשונים
94,8a2db052322ffff,תחנת רכבת הראשונים
94,8a2db0523237fff,תחנת רכבת הראשונים
95,8a2db006600ffff,ברקאי/חריש
95,8a2db0066057fff,ברקאי/חריש
96,8a2db0cd02c7fff,HIT חולון
96,8a2db0cd021ffff,HIT חולון
97,8a2db0182577fff,תחנת רכבת רעננה דרום
97,8a2db018255ffff,תחנת רכבת רעננה דרום
97,8a2db0182557fff,תחנת רכבת רעננה דרום
98,8a2db05668d7fff,"לוי אשכול/וולך, קרית אונו"
99,8a2db0191117fff,"מגדיאל/רמתיים, הוד השרון"
